datetime,region_id,mandi_price_per_kg,pos_transactions_last_hour,vehicle_delay_minutes,weather_now_temp,weather_now_humidity,logistics_disruption_flag,intraday_baseline_pred,intraday_actual_sales_partial,intraday_event
2025-11-18 22:24:35,Pune,122.36,2,0,18.6,62.7,0,0.0,0,none
2025-11-18 22:24:35,Nashik,117.25,4,0,19.4,58.6,0,0.0,0,none
2025-11-18 22:24:35,Mumbai,121.24,4,0,21.3,67.3,0,0.0,0,none
2025-11-18 22:24:35,Nagpur,122.35,2,0,20.6,57.5,0,0.0,0,none
2025-11-18 22:24:35,Aurangabad,118.21,4,0,21.0,66.8,0,0.0,0,none
2025-11-18 22:24:35,Kolhapur,116.08,3,0,18.7,68.7,0,0.0,0,none
2025-11-18 22:24:35,Solapur,115.78,6,0,19.9,60.3,0,0.0,0,none
2025-11-18 22:24:35,Amravati,121.1,3,0,21.1,54.6,0,0.0,0,none
2025-11-18 22:24:35,Nanded,117.25,4,0,21.9,69.2,0,0.0,0,none
2025-11-18 22:24:35,Jalgaon,122.11,6,0,19.2,69.1,0,0.0,0,none
2025-11-18 23:24:35,Pune,119.93,6,0,18.0,56.1,0,0.0,0,none
2025-11-18 23:24:35,Nashik,121.75,4,0,21.5,68.3,0,0.0,0,none
2025-11-18 23:24:35,Mumbai,123.56,5,44,21.6,52.5,0,0.0,0,none
2025-11-18 23:24:35,Nagpur,118.42,5,0,19.5,67.2,0,0.0,0,none
2025-11-18 23:24:35,Aurangabad,116.93,5,0,18.6,58.9,0,0.0,0,none
2025-11-18 23:24:35,Kolhapur,115.15,2,0,21.2,53.1,0,0.0,0,none
2025-11-18 23:24:35,Solapur,121.84,4,0,18.9,51.9,0,0.0,0,none
2025-11-18 23:24:35,Amravati,116.1,3,0,20.0,55.4,0,0.0,0,none
2025-11-18 23:24:35,Nanded,115.77,7,0,21.9,59.2,0,0.0,0,none
2025-11-18 23:24:35,Jalgaon,121.63,2,0,20.6,53.1,0,0.0,0,none
2025-11-19 00:24:35,Pune,122.03,3,0,18.9,57.1,0,10.0,10,none
2025-11-19 00:24:35,Nashik,121.28,8,0,21.4,50.3,0,10.0,9,none
2025-11-19 00:24:35,Mumbai,123.21,7,0,21.7,59.8,0,10.0,10,none
